Text,Palestine Sympathy,Israel Sympathy,Palestine Military,Israel Military
"6,000,000 Jews killed in the Holocaust 80 years ago. Pogroms around the world, we’ve been forced out the Arab world, mostly forced out of Europe, we barely exist in diaspora aside from USA and Israel. I don't know how you can think Jews are white, aside from conditionally. Israeli Jews are certainly mostly non-white according to your scale of whiteness. Persecuted for over 2,000 years.",n,+,n,n
"Has the IDF used Palestinians as human shields? They most certainly have in the past, this is well documented.",+,n,n,-
But the point I want to make is about this particular massacre. Here's some data that proves that the IDF and the right wing extremist Israeli government could not care less about civilian deaths. This data specifically is from a CNN article.,n,n,n,-
"In the first month of the massacre, the IDF dropped hundreds of massive bombs that can have a damage radius of 1,000 feet. Satellite imagery reveals more than 500 impact craters over 40 feet in diameter. These are consistent with 2,000 pound bombs and are 4 times heavier than the largest bombs the US dropped on ISIS in Mosul.",n,n,n,n
"Further, we are seeing no hostages being saved. If anything, the IDF is doing more harm on that front as they killed 3 hostages by accident. According to Israel, whilst they were holding a white flag and shirtless. Yes there are mistakes in war, but this may also show the true morality of the IDF. Those who are willing to kill anyone.",n,n,n,-
"Palestine is like the guard for all of us arabs, if it falls we fall all in.",+,n,n,n
Israeli lobbyists want to get rid of freedom of speech from the secondary system in the US. Likely because that is where the demographic of pro-Palestine supporters exists.,+,n,n,-
"The intention is to condemn any speech or criticism of Israel, Benjamin Netanyahu, the IDF, the occupation of Palestine, the treatment of Palestinians, the illegal settlement in the West Bank, the ongoing war crimes that Israel is committing against Palestinians. And whatever future atrocities, Israel and the US decide to partner up to do.",+,n,n,-
"Arab is a culture, not a genetic group. People in various parts of the Middle East are pretty genetically distinct and have strong ties to the people that lived there before. The Arabs came in and conquered and converted, they didn't kill everyone or force them all to leave. People are generally descended from the people who have always been there. Even Palestinians have ancient Hebrew descent from converts to Islam or Christianity.",n,n,n,n
"I know, but once both of these issues are dealt with, then Israel can be properly prosecuted and economically crippled, and they may be convinced to curb their genocidal slaughter of the Palestinians.",+,n,n,-
Of course Israel is going to downplay the genocide they're causing in their land grab for beachfront property.,n,n,n,-
The IDF are committing war crimes and murdering women and children. And maybe murdering Israeli hostages waving white flags too.,n,+,n,-
Zionist Jews don’t even follow the true teachings of the Talmud or Torah. It’s so sad that so many people have been brainwashed. How can our people survive the holocaust but then perpetrate one against Palestinians just because they’re Muslim or Christian? It’s sick.,+,-,n,-
"The Israeli government has a direct responsibility, especially when an enacting violence for the so called benefit of Jewish people. ",n,+,n,-
"If Israel really cared about the safety of Jewish people, they wouldn’t be behaving the way that they are.",n,+,n,-
"Even Isreal does not care about the safety of Jewish people. Besides killing their own hostages, point-blank… Why would the IDF bomb a Christian church in Gaza killing 50+ Palestinian Christians. And then expect Jewish people living in countries founded on Christianity to feel safe. The war on Palestinians is anti-Semitic and puts innocent Jewish people across the world in even more danger than they already face.",n,+,n,-
Palestinian militant groups had operated from Lebanon well before Black September. The PLFP ran most of its media out of Beirut. Likewise you had a pretty massive refugee population in Lebanon because of the Nakba. Places like Sabra existed well before September 1970,n,n,n,n
"Hi all just wondering your thoughts on bias against israel in the media. Major Western media outlets like The New York Times, CNN, MSNBC, NPR, and the Associated Press face accusations of consistently portraying Israel negatively. A study divulged that during the first quarter of 2023, a substantial 67% of The New York Times' coverage on Israel was unfavorable, a phenomenon ascribed to an alleged ""anti-Israel newsroom culture,"" attributed either to political bias or ignorance.  ",n,+,n,n
"The liberal bias among media professionals, as evidenced by studies indicating a prevalence of self-identified liberals over conservatives, is posited as a potential factor contributing to media bias against Israel. This association arises from the perception that liberals, who may often be seen as critical of Israel, dominate the media landscape.  ",n,+,n,n
"Hundreds of journalists have affixed their signatures to a letter decrying what they perceive as pro-Israeli reporting and the dehumanization of Palestinians, offering a critical perspective on media coverage of conflicts involving Israel.  ",+,-,n,n
"Palestine is a geographical name, not a gentilic. There is only one historical people who have inhabited the territory of Israel and who have survived to this day. It's the Jew. All the others have disappeared.",-,+,n,n
"The Arabs who have lived in the historic territory of Judea have never called themselves “Palestinians.” The identity of these Arabs is tribal and religious, not territorial. Later, especially after the creation of Israel, the term “Palestinian” was politicized and applied to a population that had never been considered as such.",-,n,n,n
There is no Palestinian national consciousness. Much less linked to the territory of Israel. It is a political term. The Palestinian “struggle” does not seek a State. They has been able to have it several times and has always rejected it.,-,n,n,n
"Assuming that the Jews “disappeared” from Israel, the “Palestinians” would immediately be used as cannon fodder in the war that would confront Iran, Saudi Arabia, Jordan, Egypt and Syria for control of the territory. Paradoxically, the only guarantee of survival of the “Palestinian people” is the existence of the State of Israel.",-,+,n,n
"Israel has done nothing wrong in this war, they are absolutely moral in every act they have committed. They don’t target civilians, churches, aid workers, kids, etc.",n,+,n,+
"When Israelis say “the wars about destroying a Hamas, we have to destroy Hamas”. I don’t believe Bibi or his government at all when they say that. They are liars. And it’s equally hard to believe when some Israelis talk about vengeance or “teaching a lesson” or that horrible, morally empty word “deterrence”.",n,-,n,-
"The Israelis will continue to say, “it wasn’t our goal. We didn’t aim to do this. It wasn’t about that, We just needed to destroy Hamas.” Other People - anti-Semites, Palestinians, human rights activists, progressives, the UN, and people who think that intent is meaningless - will point at an uninhabited and uninhabitable Gaza and say “ it doesn’t matter if it was a side consequence of adjust war, or if you were intentionally clearing it out for settlers or whatever!  The land is cleansed! You committed it! The result is the same!”",+,n,n,-
"Israel will have won its war, the US will be complicit, settlers will move in with or without gov’t approval and terrorize the few Gazans left. Bibi and his cabinet will congratulate themselves and campaign. Israel’s ok to let the rest of the world debate their actions afterwards, as long as they win.",n,n,n,-
"Over the last month, dozens of forensic analysts and witnesses have come out to describe the violence against women that they've seen. Women of all ages (especially at the nova festival) were gang raped, one after the other, while militants stab them all over their bodies. I watched a video of a pregnant Jewish woman tied down with tape on her mouth while 2 Palestinian (looked like civilians) sliced her belly completely off, you see her organs pumping and her baby moving around while they yell at her, slap her, and spit on her. There was a woman at the festival who was passed around to different Palestinian men, each one mutiliated her as they raped her. She and many other women had their breast's and genitals cut off while they were alive. ",-,+,n,n
"But for some reason I haven't seen a single pro palestinian even acknowledge it unless they're saying it's lies and it didn't happen. My problem especially with this is that it creates a dichotomy where it's alright for Jewish women to be brutalized and raped as long as it's by an Arab man. When you defend it, you think you're defending Palestinians in some distorted way, but as an Arab I can tell you the reality you might not know about. Stealing & humiliating Jewish women is a sport for Arabs. ",-,n,n,n
"As for 'why should Palestinians give up their homes'. Well, they didn't at first. They just needed to live and accept their neighbors. The earliest plans for a Jewish state was less than 20% of all of current Israel, which the Jewish people weren't happy with, but would have accepted if needed. More importantly, few if any would have been displaced. Instead, Arab bigotry led to the people who would eventually be called Palestinians losing land after losing a war they started. So the real question is 'Why couldn't the Arabs be decent human beings?'",-,+,n,n
The situation in Gaza is due to this exact extreme antisemitism.,n,+,n,n
"As a theocratic ethnostate from its inception, Israel is a fundamentally broken society and will not survive on its own.",n,-,n,-
"You forgot the part where Israel does do its part, and is still the only one criticized.",n,n,n,+
"Of course, people who kill civilians are responsible for those deaths.  What kind of question is that? Also, how is anyone not Pro-Palestine?  What compassionate human could ignore plight of humans who have never known real freedom in their entire lives?",+,n,n,n
"There is ZERO possibility that what Israel is will be sustainable throughout history. They’ve written their own demise in stone. Israel knows this. So they’ll act like the bloodthirsty ghouls that they are to buy themselves whatever time they have left. It might be a while, but eventually they will crumble and nobody will take pity on them.",n,-,n,-
I hope by 2030 Israel will no longer exist and the land will be returned to the Palestinians. The Palestinian indomitable spirit will never break and the white colonizers will fail.,+,-,n,-
"The premise of Israel's legitimacy doesn't make sense. You call another people's land halfway across the world which you know nothing your ""ancestral homeland"". You play the ""historical persecution"" to justify your existence. You terrorize and genocide the local indigenous population and try to push then out. You rely of systematic oppression and murder for your security. You take over their culture and rename it in your language, which is actually your second.",n,-,n,-
"The 70% support isn't coming from Hamas sadly. It's coming from independent polling of the residents of Palestine through organizations such as PCPSR. Although I didn't see 70% support for Hamas, it's usually in the 40-50% range.",n,n,n,n
"Dude you believe the Israeli propaganda all you want! The more educated, critical thinking population of the world are well aware of the fascist, bloodthirsty IDF and Israeli governments intentions. Ethnically cleanse Gaza, level the urban areas to be later populated by Zionist settlers. It's already happening in other Palestinian land, Hamas just gave the opportunity for Zionists to fast forward their plans.",n,-,n,-
"I’m not of Jewish descent, but I feel this terrible feeling at my core for the Jewish people, even as I type this. There are many victims here, but the Jewish people (especially) need lifting up, and it has nothing to do with October 7th.",n,+,n,n
"The majority of those of Jewish descent have long been calling for a ceasefire and upwards of 80% want Netanyahu gone. They recognize that Israel is actually outdoing Hamas and securing The Jewish State as a terrorist organization. ",n,+,n,-
"Israel has killed more women and children in two months of invading Palestine than Russia has killed in total combatants in nearly 2 YEARS of invading Ukraine!!!(13,000-9,900) Israel has killed more women and children in two months than the top 10 terror attacks have killed total people since 1970!! (13,000-12,000)",n,n,n,-
"So, now that The Jewish State is acting as a terrorist organization, what does that mean for “the rest of us”? For starters, we will need to search for a new language to discuss the Jewish people, apart from the terror organization that is the visual representation of those people. ",n,+,n,-
"Alright lemme give you some numbers of things that Israel caused: 27,137 innocent civilians killed, 53,116 innocent civilian injured, 93 journalists killed, 1,900,000 innocent civilians displaced, 64,440 destroyed homes, 175,040 partially destroyed homes, 163 destroyed/damaged press headquarters, 299 damaged schools, 1,459 destroyed industrial industries, 176 damaged mosques, 4 damaged churches, 473 targeted health staff (222 deaths, 251 injuries), 131 targeted health facilities (23 hospitals, 56 clinics, and 51 ambulances) and the numbers are still going up. I think this is what you call ethnic cleansing?",n,n,n,-
"There is no winning for Israel, they realized this long ago, and are now panicking, knowing that their end is closer than ever. They know that even if they destroy the entirety of Gaza, and kill every single person within, they won't survive.",n,-,n,-
Their crime is being Palestinian.,-,n,n,n
Israel had legitimate enemies cross into their border and murder their people.,n,+,n,n
This doesn't excuse Israel. There is an issue of them going hard line and over occupying.,n,n,n,-
"In contrast, the Jewish people began building and investing in major infrastructure projects in the Palestine region during the Ottoman era (1850s) and later in the British Mandate of Palestine, 100 years before Israel even existed.",n,+,n,n
"We have made it clear that West Belfast citizens will not be in any way complicit with the funding of Israeli occupation forces, their brutal military machine, nor their genocide and ethnic cleansing of the Palestinian people. ",+,n,n,-
"After that negotiation, Israel decided to take another step towards peace with Palestine: the unilateral withdrawal from Gaza and partial withdrawal from the West Bank. ",n,n,n,+
"Israel withdrew its entire military occupation from Gaza, every single settlement, and pulled 4 additional settlements out of the west bank as a deliberate signal of good will and a willingness to test the concept of land for peace, which had worked with its relations with other neighbors, with the Palestinians.",n,n,n,+
I’m sure you all saw this video of an Israeli soldier calling airstrikes on a neighborhood leveling a series of buildings to the ground in seconds. These people are sick blood-thirsty psychopaths.,n,n,n,-
"To be honest I’m not surprised nor disappointed, the Israeli army unleashed their cruelty on countless occasions against defenseless Palestinians. I’m sure Palestine genocide deniers will come up with something to justify this act of terror. Palestinians have long been accused of radicalism and indoctrination but this behavior speaks of the hate and radicalism inside the Israeli war machine. This is next level terrorism.",+,n,n,-
"Western hypocrites tried to downplay the genocide by casting doubt on the numbers of casualties and other atrocities done by Israeli terrorists, but this type of videos is shared among Israeli telegram channels meaning that these genocidal maniacs are bragging about it.
",n,n,n,-
"As a leftist Israeli living in America, I am so tired of people in the West considering themselves ""Pro-Israel"" or ""Pro-Palestine."" No matter your ethnicity or nationality, you should condemn all cases of deliberate harm against civilians. Also, no matter who you are, you should advocate for social and economic prosperity and justice for civilians regardless of ethnicity or nationality. ",+,+,n,n
"There have been an infinite amount of actions from Israeli, Palestinian, Arab, and British leaders, population sectors, state actors, and organizations that have impacted the current state of the conflict.",n,n,n,n
" Israel and Palestine, as nations, are filled with external mythology that plagues the minds of their believers. As an Israeli, I have been exposed to the constant worship that Israelis engage in for the nation of Israel. However, I'm also aware of the potentially worse lunacy that many Palestinians have for the nation of Palestine. ",-,-,n,n
"It’s the notion of when they are ready to accept peace and re-educate their children into accepting Israel then negotiations can restart. Until then, Israel needs to protect her citizens by any means possible.",n,+,n,+
"Israel has consistently elected governments that continue the settlement of the West Bank, the blockade of Gaza, the military court system imposed on the West Bank, the murder of protestors in Gaza, the mass killing of civilians in Gaza, the murder of journalists all over Palestine and systematic discrimination against Israel's Arab population.",n,n,n,-
Israel loves to play victim while actively victim blaming Palestinians and justifying killing children because “they are human shields”.,n,-,n,-
"Israel is one of the strongest and most fortified militaries in the world. Israel loves to kidnap and arrest people regularly for terrorism. What will PROLONG the war, is the further dehumanization of Palestinians and the world continuing to tell them that their life is worthless compared to an Israeli.",+,n,n,-
"What is happening in Gaza today is partly the fault of the UN, this organization has blundered many times in its decisions.",n,n,n,n
"Israel has initiated every significant peace process engaged between the two. What is definitely true is that Israel has, in the past, ended an ostensible ""occupation"", withdrawing from Gaza, and has even agreed to acquiesce to up to 97% of opponent demands. Why they fell apart is up to conjecture, but Israel clearly will entertain peace.",n,n,n,+
"Palestinians will be free from oppression and the apartheid policies of Israel. Now tell me how “from the river to the sea, Israel is all you’ll see,” is not a genocidal call at the same time that ethnic cleansing and daily bombing of a civilian population is occurring.",+,n,n,-
"Once Israel finishes what it needs to do, it can step up and rebuild Gaza to a higher standard and invest into Gaza’s infrastructure, education and healthcare",n,n,n,+
"Palestinians are not one big hive mind who all think the same. Most Palestinians just want to live their lives like we all do, and having their homes destroyed could lead to more and more retribution. ",+,n,n,n
"I care about the people of Palestine, what is happening to them is barbaric and the Isreali people will pay for their crimes in time.",+,-,n,-
"Whether it’s called Israel or Palestine is irrelevant. The Palestinian people deserve the same rights, respect, and dignity as the Israeli citizens.",+,+,n,n
"The Palestinian people don’t believe they have anything left to lose other than their lives. That makes them extremely dangerous to Israeli society, because Israel has far more to lose than their lives.",-,+,n,n
"I’m pro-peace and full integration. Israel is stuck with the Palestinians, for better or worse. It’s time to solve the problem instead of bombing it away. It isn’t an easy solution, and it will require time and effective action in order to achieve a safer greater Israel for all her people.",+,+,n,n
Israel actually has the potential to completely force all Palestinians from their homeland. They've been slowly doing this in the west Bank for a long time now.,+,n,n,-
"In order to ensure that future generations of Palestinians do not resort to violence against Israel, we need a complete change of attitude towards Palestinian statehood and civil rights from Israel's government. Palestinians in areas under Israeli control need to have equal rights to Israelis. The current approach from Israel will only ensure more future violence from Palestinians.",+,n,n,-
"Israel are worse than Hamas. In a few weeks they've killed over 20,000 women and children. It could even be as high as 30k. They bomb DESIGNATED schools, hospitals and refugee centers. The overwhelming majority of Israeli population supports this. Israelis must never be treated with respect after this.",n,-,n,-
"No its separate to recognition. The partition plan was a non-binding recommendation. ",n,n,n,n
"There's also 50,000 Gazans wounded so the IDF are hitting far more civilians than some people are comfortable admitting.",+,n,n,-
In 1946 80% of Palestine was given to the Arabs and called Jordan. The other 20% was to be split 50/50 between Jews and Arabs.,n,n,n,n
"One of the reasons more people are dying in Gaza is because Hamas fires rockets from civilian areas like hospitals and schools. Therefore, the IDF has to target those areas to get rid of their equipment. Hamas uses hospitals and schools and other such places for it's operations, causing Israel to have to also investigate them. All of this makes things extremely difficult and complicated for the IDF. ",n,n,n,+
"It isn’t religion it is Israel. Jews don’t behave this way anywhere else. ",n,+,n,-
"Israel has oppressed Gaza for so long now you have generations of people born into the conflict who will hate Israel from birth. With the amount of civilians killed in this current conflict, reportedly 70% of the deaths being civilians woman and children, the Israelis have galvanized at least another 2 generations of people two hate them.",n,n,n,-
Jewish people have always been in Palestine. Zionism and the European colonial mindset it promotes is what changed. Israel is a colonial project. Israel doesn’t have some god given right to exist.,n,n,n,-
Israel’s bad faith during negotiations became more than obvious by voting no to the resolution on the right of Palestine to self-determination. Israel’s contempt for whatever they signed or sign to is obvious.,n,n,n,-
"Israel is killing way too indiscriminately as shown by the count of women and children and even their own white flag waving hostages. Any logical person knows this is just pure terrorism, racism, and outright murder of 99.9% innocent civilians.",n,n,n,-
"Well you can at least agree that the IDF is taking action to prevent civilian deaths, regardless of the reason, right?",n,n,n,+
"That said, the loss of innocent Palestinian lives is no more or less justifiable than the loss of innocent lives in any other defense war. Israel dropped something like 27,000 bombs. Even if the numbers given by Hamas were true (about 20,000 dead), there would not even be one death per bomb dropped. This is possible due to the fact that Israel famously evacuates buildings before bombing them.",+,n,n,+
"If Israel is deliberately taking revenge on civilians, that is a likely war crime. Israel should only continue the current war against Hamas if there are serious prospects for success, and if doing so will not produce an even greater evil.",n,n,n,-
"If you wish for the demise of Hamas, that likely won't happen unless they are defeated militarily. And it is almost impossible to do that without some civilian casualties. Israel ought to control this territory, for now, because otherwise Hamas will.",n,n,n,+
"Many Palestinians do grow up to hate Israel, it's what they learn from their parents, friends and UN funded schools, and it's not as though they are treated well by Israel or Israelis.",n,n,n,-
"No matter what you believe, the IDF is not trying to kill children. They don't go to war with the intent of harming civilians. Civilians are used as shields for the enemy government they are trying to destroy for their own safety.",n,n,n,+
"The IDF is full of lunatics. With each dumb bomb they drop they know children will die, yet they continue to drop them. 7 thousand children are dead. ",n,n,n,-
The IDF and their tactics should also be condemned and when I see people who act is if it’s blasphemous to speak against them it makes you wonder why one side can tolerate absolutely no criticism.,n,n,n,-
Before the establishment of Israel Jews Muslims and Christians lived in peace they lived next together as neighbours these stories of how they lived in peace exists in every Palestinian home that's a testament on how the existence of Israel came to ruin such relationships,+,+,n,-
"Actually the IDF mainly uses M4 and M16, only 3 infantry brigades are currently using the Tavor, while their new recruits just got M4s with a whole new sight, that the IDF never used up until now.",n,n,n,n
Palestinians should absolutely have the right of return and Israel should pay reparations.,+,n,n,-
Most Palestinians today have never even been in Israel whereas Jews have been on the land for literally thousands of years. Why does a Palestinian born in California count as indigenous when a Jew going back generations doesn’t?,-,+,n,n
"You portray Palestinians as being too proud to ""surrender to peace."" Surrendering to a life of indignity under Israeli blockade, where basic human needs and rights are denied and there is no legal protection from the excesses of the occupation. Are you expecting them to silently accept the building of Israeli settlements over their land.",+,n,n,-
"Israeli policy has for long been OPPOSED to a two-state solution. It has never offered the Palestinians any realistic or dignified path to peace. Israel has never been serious about peace. Claims of ""peace"" have only been a game of posturing, designed to mislead the world and develop a narrative that Israel seeks peace. In reality, Israel never stopped building settlements on occupied territory, and every overture towards peace was subverted and sabotaged.",n,n,n,-
"Israel has been caught already numerous times lying about that event, killing their own people and killing multiple hostages this month. Everyday Israel does things like this and they continue to lose millions and millions of supporters. This whole event has exposed how horrible Israel has been for 80 years.",n,+,n,-
Israelis seem incredibly entitled and arrogant.,n,-,n,n
"Israel didn’t want Gaza, Israel wanted to give Gaza back to Egypt but Egypt doesn’t want the terrorist groups that inhabits this place. So it’s being forced on Israel to control gaza, but in 2005 israel tried to make peace and leave gaza entirely. Many Israelis had to leave their homes so that might be peace with the Palestinians.",n,+,n,+
"About 1/3 of the people killed were IDF. Majority of the civilians were killed by IDF themselves when they used their tanks and helicopters to murder their own citizens. How many Palestinians has Israel been killing, injuring and imprisoning on a daily basis for the last few decades? Why are people shocked when the other side resisted the occupation?",+,n,n,-
"The goal was to re-open the discussion of Palestinian freedom to the world. There are billions of people around the world who now know what Palestinians have been going through under an occupation. About 90% of the world supports Palestinians versus psychopathic, lying and murderous Israeli thieves claiming to be indigenous to a land that is not theirs. Israel is on it's way to becoming a failed state which will eventually lead to freedom for Palestine whether by a larger expanded War or through diplomatic means.",+,n,n,-
What did Israel think would happen after decades of treating Palestinians like animals? Israel is its own biggest security threat.,+,n,n,-
It is astounding that Palestinians do not yet have a legally accepted state 78 years after the end of World War II in a supposedly post-colonial world. A political solution needs to be found for all the Jews and Palestinians living between the river and the sea.,+,+,n,n
"Palestinians have been oppressed by the zionist Israelis for decades, and now that they have retaliated, the media is calling them terrorists and justifying the war crimes done by Israel: using chemical weapons, airstriking residential buildings and hospitals, stoping water, electricity, food, fuel and aid. ",+,n,n,-
"Israel has been stealing Palestinian land while killing and torturing the Palestinian people since 1948 with the support of Britain. What Israel is doing and has been doing for the past 75 years is Genocide.",+,n,n,-
"The Israeli military and its regime deliberately target innocent civilians including entire families, journalists, paramedics while bombing schools, residential buildings, hospitals and Churches. Israel is now trying to wipe out the rest of the Indigenous people of Palestine from the little land that they have left while killing every Palestinian man, woman and child in its way. It’s as clear and simple as it sounds, we are now witnessing the ethnic cleansing and genocide of the Palestinian people.",+,n,n,-
"The illegal Israeli occupation has been since 1948. And the Palestinians have been resilient is resisting. As much as they have been trying, the Israelis cowards have not been able to get rid of the indigenous people of Palestine.",+,n,n,-
Exactly what the illegal Israeli occupiers have been doing this since 1948. The Palestinians are the ones being oppressed. The Palestinians didn’t just appear out of nowhere. Jewish Zionists from all over Europe came to occupy the land of Palestine.,+,-,n,-
"Palestinian people deserve as much peace as the Israeli people. ",+,+,n,n
Palestine is an occupied country. They are completely walled off and almost every basic right you can think of is stripped from them and controlled by Isreal. T By many accounts it is apartheid at the least or a concentration camp.,+,n,n,-
"There has recently been an insane amount of settlements and home evictions of Palestinians. The racism in Israel is getting to insane heights and there is regular rallies throughout the cities chanting for death to all Arabs.",n,-,n,-
"The only terrorists are the disgusting, cowardly, evil Israeli military and their leaders. Israel has been committing genocide on the Palestinian people for the past 75 years.",n,n,n,-
"The Palestinians have strength and resilience more than anyone in this world. ",+,n,n,n
The Palestinians have been resisting the illegal Israeli occupation of their land since 1948.,+,n,n,-
"The world is witnessing the genocide of the Palestinian people in real time. It’s astonishing after seeing videos and photos like this, knowing the Israeli military are deliberately targeting and bombing innocent civilians including residential buildings with entire families inside, schools, paramedics and even journalists to try and cover up all these war crimes that people still want to justify and stand by these massacres.",+,n,n,-
"In 75 years Israel has taken like 95% of the land from Palestine. They continue building settlements in Palestinian land, pushing Palestinians out, then when people protest and retaliate for the theft they claim to be justified in then officials expanding their territory there to fight off the violence. ",+,n,n,-
"The Palestinian people are malnourished, lacking in water, medicine/basic healthcare. Israel is the greatest abuser of human rights than any other two countries combined and has rejected more UNSC resolutions than any other UN member country. 
",+,n,n,-
"Palestine lost its right to lands after they lost Yom Kippur war, in my opinion Israel was nice to give them their territory back even if they move into it again.",-,n,n,+
"I'm a big supporter of Israel - but I thought this type of thing is not tolerated. I know there are Israeli soldiers who have gone to prison for abusing Palestinians. ",n,n,n,n
"Ex-Israeli soldier describes atrocities committed against Palestinians. ",n,n,n,-
"Israel have relied on their painful history and utilised the world's sympathy and guilt to do the same to the Palestinians what was done to them. I know that after the War Europe was desperate to relocate the surviving Jewish people, somewhere safe,  but with hindsight they didn't really think through the long term repercussions of breaking up some fairly barren land from the indigenous population and creating an Israel surrounded by Muslims",+,n,n,-
What israel is doing with regards to blockades and other such acts that are deemed as 'apartheid' is what any normal country would do when you have severe terrorist issues with a land right next to your own land.,n,n,n,+
Israel slaughters Palestinian teenagers every day.,+,n,n,-
"Palestinians as a group have not put this down. Now they will suffer more. I was a supporter of a free palestine, but now I believe it probably can never exist. I'd be happier if I saw Palestinians protesting and resisting Hamas, but all I've seen is them celebrating them.",-,n,n,n
"Israel has expressed a blatant disregard for the lives of Palestinians, children included. Israel’s treatment of Palestine is why Palestinians look to Hamas for answers, and Israel is doing a “solution” that works to exasperate the problem they’re trying to solve. Israel has shown zero interest in addressing the root of why Hamas even exists in the first place to be able to shoot rockets.",+,n,n,-
"Palestine is a freaking region, not a country and for Muslims to claim the whole region has always been theirs is complete revisionist bullshit.",-,n,n,n
Have you ever been to isreal or palestine.,n,n,n,n
"If you don't think Israel should be allowed to exist, which you are allowed to believe, you might support the Palestinians, but if you believe the Jews deserve to live in their original lands, which you are also allowed to believe, then you would support Israel, and there's so many other factors like previous battles between them that factor in as well.",n,n,n,n
